Words,Meaning,Mnemonic,,
a,一（个；件...）,啊？就**一个**呀？,,
an,一个（用于元音音素开头的词前）,桌上咋**安**(an)了个鸡蛋？,,
abandon,放弃；抛弃；遗弃,那一帮(a ban)人都遁(don)了，把这地方给**抛弃**了。,,
abbreviation,缩写；缩写词,唉(a)，**不如(bre)喂(vi)**它起个**昵称(ation)**吧，这全名也太长了！,,
abide,缩写；缩写词,唉(a)，**不如(bre)喂(vi)**它起个**昵称(ation)**吧，这全名也太长了！,,
able,能够；有能力的,我家‘爱宝’(able)啊，特别有能力(able)，啥都会干！,,
ability,能力；才能,他做事超'able'，这*能力*(ability)真不是盖的！,,
abnormal,反常的；不正常的,ab-？那肯定就不是normal（正常）了呗，反常得很！,,
aboard,在（船、火车、飞机等）上,‘啊’地跳上那块板(board)，就上船/车了呗。,,
abolish,废除，废止（法律、制度、习俗等）,哎，**我剥了是** /??b?l??/！这些陈规陋习都该彻底**废除**！,,
abolition,废除；（尤指）废除奴隶制,这易碎的**玻璃(boli)**规定，早就该**废除**了！,,
abort,(v.) 中止,哦不(o bù)！出事了，任务赶紧中止(t)！,,
abortion,人工流产；（计划、项目等的）中止，夭折,唉(āi)，‘生(shēng)’这个选项(xuǎnxiàng)被驳(bó)回了，只能终止妊娠。,,
about,关于；大约,啊，爆(about)了！这瓜**大约**得吃三天吧，全是**关于**细节的讨论。,,
above,在...上面；在（或向）...之上,啊，不服(/??b?v/)？有本事站到我头**上面**来！,,
abreast,并排地；并肩地,欸(a)，我看咱并排走队形最棒(best)！,,
abroad,在国外；到国外,世界这么**宽广(broad)**，谁不想去趟**国外(abroad)**啊？,,
abrupt,突然的；唐突的,啊，**不**小心**挼破**（rua pò）它了，发生得太**突然**了！,,
absent,缺席的；不在的,啊，他不来？又不送(sent)假条，直接**缺席**(absent)啊？,,
absence,缺席；不在,他*爱不*(ab)来，这次就算他**缺席**了。,,
absolute,完全的；绝对的,咱家阿伯说了(ab-so-lu)算，他说了就是**绝对**的！,,
absorb,吸收；理解,海绵‘啊~啵！’(absorb)一下就把水**吸收**了。,,
abstract,抽象的,哎，这玩意儿**不是(?bs)拽(tr?kt)**得动的，太**抽象**了！,,
absorption,吸收；专注,你看这块海绵，“啊~嗦”(ab-sorp)的一下就把水**吸收**了，这**吸收**(absorption)能力真强！,,
absurd,荒谬的；不合理的,阿布说的话也太**荒谬**了吧！,,
abundant,丰富的；大量的,啊，不(bù)断(duàn)的有，太丰富了！,,
absurdity,荒谬；荒唐事,哎哟，他说的(surd)都是些啥呀？简直荒谬！,,
